,date,gap,gap_direction,filled
541,2020-06-25,-1.2100000000000364,down,True
542,2020-06-26,-1.2099999999999795,down,False
543,2020-06-29,0.6500000000000341,up,True
544,2020-06-30,-0.6399999999999864,down,True
545,2020-07-01,1.1399999999999864,up,False
546,2020-07-02,3.930000000000007,up,False
547,2020-07-06,4.079999999999984,up,False
548,2020-07-07,-1.420000000000016,down,True
549,2020-07-08,0.8000000000000114,up,True
550,2020-07-09,0.8699999999999477,up,True
551,2020-07-10,-0.060000000000002274,down,True
552,2020-07-13,2.420000000000016,up,True
553,2020-07-14,-1.6399999999999864,down,True
554,2020-07-15,3.7100000000000364,up,False
555,2020-07-16,-2.079999999999984,down,False
556,2020-07-17,1.0200000000000387,up,True
557,2020-07-20,-0.37000000000000455,down,True
558,2020-07-21,1.990000000000009,up,True
559,2020-07-22,-0.4399999999999977,down,True
560,2020-07-23,-0.25,down,True
561,2020-07-24,-1.8899999999999864,down,False
562,2020-07-27,0.8500000000000227,up,False
563,2020-07-28,-0.7599999999999909,down,True
564,2020-07-29,0.9399999999999977,up,False
565,2020-07-30,-2.930000000000007,down,False
566,2020-07-31,2.109999999999957,up,True
567,2020-08-03,1.9399999999999977,up,False
568,2020-08-04,-0.7299999999999613,down,True
569,2020-08-05,1.4600000000000364,up,False
570,2020-08-06,-0.6099999999999568,down,True
571,2020-08-07,-1.0199999999999818,down,True
572,2020-08-10,0.6000000000000227,up,True
573,2020-08-11,1.2800000000000296,up,True
574,2020-08-12,2.8899999999999864,up,False
575,2020-08-13,-0.4399999999999977,down,True
576,2020-08-14,-0.3499999999999659,down,True
577,2020-08-17,1.420000000000016,up,False
578,2020-08-18,0.5299999999999727,up,True
579,2020-08-19,0.5400000000000205,up,True
580,2020-08-20,-1.669999999999959,down,True
581,2020-08-21,-0.4199999999999591,down,True
582,2020-08-24,2.6299999999999955,up,False
583,2020-08-25,0.8500000000000227,up,True
584,2020-08-26,0.6200000000000045,up,False
585,2020-08-27,1.0699999999999932,up,True
586,2020-08-28,1.079999999999984,up,True
587,2020-08-31,-0.17000000000001592,down,True
588,2020-09-01,0.4300000000000068,up,True
589,2020-09-02,2.090000000000032,up,False
590,2020-09-03,-1.9099999999999682,down,False
591,2020-09-04,-0.14999999999997726,down,True
592,2020-09-08,-5.909999999999968,down,False
593,2020-09-09,3.680000000000007,up,False
594,2020-09-10,2.6999999999999886,up,True
595,2020-09-11,1.8999999999999773,up,True
596,2020-09-14,3.3100000000000023,up,False
597,2020-09-15,2.7100000000000364,up,False
598,2020-09-16,0.9900000000000091,up,True
599,2020-09-17,-5.319999999999993,down,False
600,2020-09-18,-0.9799999999999613,down,False
601,2020-09-21,-4.980000000000018,down,False
602,2020-09-22,1.3100000000000023,up,True
603,2020-09-23,0.6599999999999682,up,True
604,2020-09-24,-1.6000000000000227,down,True
605,2020-09-25,-1.1100000000000136,down,True
606,2020-09-28,4.800000000000011,up,False
607,2020-09-29,-0.029999999999972715,down,True
608,2020-09-30,0.4700000000000273,up,False
609,2020-10-01,4.170000000000016,up,False
610,2020-10-02,-5.289999999999964,down,False
611,2020-10-05,2.159999999999968,up,False
612,2020-10-06,0.39999999999997726,up,True
613,2020-10-07,2.8500000000000227,up,False
614,2020-10-08,2.2900000000000205,up,False
615,2020-10-09,1.8799999999999955,up,False
616,2020-10-12,2.680000000000007,up,False
617,2020-10-13,-0.08000000000004093,down,True
618,2020-10-14,0.4199999999999591,up,True
619,2020-10-15,-4.220000000000027,down,True
620,2020-10-16,1.4499999999999886,up,True
621,2020-10-19,1.4800000000000182,up,True
622,2020-10-20,1.0199999999999818,up,False
623,2020-10-21,0.44999999999998863,up,True
624,2020-10-22,-0.18999999999999773,down,True
625,2020-10-23,1.2699999999999818,up,True
626,2020-10-26,-3.170000000000016,down,False
627,2020-10-27,0.20999999999997954,up,True
628,2020-10-28,-6.199999999999989,down,False
629,2020-10-29,0.11000000000001364,up,True
630,2020-10-30,-1.7100000000000364,down,False
